latitude,longitude,name,addr:full,addr:subdistrict,addr:street,addr:place,addr:block,addr:district,addr:state,addr:postcode,contact:mobile,healthcare,source
17.33121596,78.06859821,"SubCentre, Allur","3rd Ward, Near Pochamma Temple, Chevella ",Chevella ,,Allur,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.26981164,78.10038507,"SubCentre, Chanvelly","Village Road, Beside Water Tank, Chevella ",Chevella ,,Chanvelly,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.25045753,78.15660417,"SubCentre, Gundala","ZPHS Road, Near Grama Panchayath",Chevella ,,Gundala,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.37621005,78.16131547,"SubCentre, Kammeta","Village Road, Near Veterinary Hospital",Chevella ,,Kammeta,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.28423881,78.0647184,"SubCentre, Khanapur - Chevella","Opp. Amruthalayam, Near Pochamma Temple, Chevella ",Chevella ,,Khanapur,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.35304491,78.03540051,"SubCentre, Kowkuntla","Near High School, Beside Grama Panchayath, Chevella ",Chevella ,,Kowkuntla,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.37373982,78.06001246,"SubCentre, Tangadpally","S.C Wada, Near Auto Stand, Chevella ",Rajendranagar ,,Thangadpally,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.2683056,78.06500137,"SubCentre, Regadghanapur","Devarampally Road, Chevella ",Chevella ,"SC Wada, Regadghanapur",,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.31267237,78.13358009,"SubCentre, Chevella","Near Grama Panchayath, Beside Primary School, Chevella ",Chevella ,,,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.3354099,78.19969922,"SubCentre, Mudimyal","Opp. Church, Chevella ",Chevella ,"SC Wada, Mudimyal ",,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.3567417,78.13081205,"SubCentre, Urella","Near Community Hall, Chevella ",Chevella ,"Grama Panchayath Road, Urella",,Chevella,Ranga Reddy,Telangana,501503,,centre,OpenGovernmentData
17.38649,78.66181,"SubCentre, Prathapasingaram","3-97/A, Opp. Grama Panchayath, Ghatkesar ",Ghatkesar ,BC Colony,,Ghatkesar,Ranga Reddy,Telangana,500088,,centre,OpenGovernmentData
17.40509,78.66966,"SubCentre, Korremula","Beside ZPHS, Ghatkesar ",Ghatkesar ,SC Area,,Ghatkesar,Ranga Reddy,Telangana,500088,,centre,OpenGovernmentData
17.43320034,78.65720361,"SubCentre, Annojiguda","Near K.L.R Water Tank, S.T Area, Ghatkesar ",Ghatkesar ,MIG Road,,Ghatkesar,Ranga Reddy,Telangana,500088,,centre,OpenGovernmentData
17.43152163,78.60242486,"SubCentre, Chengicherla","2-31/1, Near Old Grama Panchayath, Ghatkesar ",Ghatkesar ,,Chakali Basti,Ghatkesar,Ranga Reddy,Telangana,500092,,centre,OpenGovernmentData
17.41889,78.58028,"SubCentre, Boduppal","Park Place, Near Hanuman Temple, N.T.R Statue, Ghatkesar ",Ghatkesar ,Laxmi Nagar Colony,,Ghatkesar,Ranga Reddy,Telangana,500092,,centre,OpenGovernmentData
17.4071478,78.59085381,"SubCentre, Peerzadiguda","10-101, Near Communitty Hall, Ramakrishna Colony, Ghatkesar ",Ghatkesar ,Street No. 2,,Ghatkesar,Ranga Reddy,Telangana,500098,,centre,OpenGovernmentData
17.41756926,78.71104896,"SubCentre, Edulabad","B.C Community Hall, Ghatkesar ",Ghatkesar ,"BC Colony, Chakali Basti",,Ghatkesar,Ranga Reddy,Telangana,501301,,centre,OpenGovernmentData
17.45096922,78.6835295,"SubCentre, Ghatkesar","Opp. Grama Panchayath, Ghatkesar ",Ghatkesar ,"Brooke Bond Colony, Chakali Basti",,Ghatkesar,Ranga Reddy,Telangana,501301,,centre,OpenGovernmentData
17.4586351,78.68759573,"SubCentre, Kondapur","1-130, Near Community Hall, Ghatkesar ",Ghatkesar ,"SC Colony, Gandhi Nagar",,Ghatkesar,Ranga Reddy,Telangana,501301,,centre,OpenGovernmentData
17.45978137,78.73672575,"SubCentre, Aushapur","3-143, Beside Grama Panchayath, Ghatkesar ",Ghatkesar ,,,Ghatkesar,Ranga Reddy,Telangana,501301,,centre,OpenGovernmentData
